S.N.,Region,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,County Area (sq mi),Developed Area 1985 (sq mi),Developed Area 1990 (sq mi),Developed Area 1995 (sq mi),Developed Area 2000 (sq mi),Developed Area 2005 (sq mi),Developed Area 2010 (sq mi),Developed Area 2015 (sq mi),Developed Area 2020 (sq mi),Developed Area 2024 (sq mi),FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,UEII 1985-1990 (%),UEII 1990-1995 (%),UEII 1995-2000 (%),UEII 2000-2005 (%),UEII 2005-2010 (%),UEII 2010-2015 (%),UEII 2015-2020 (%),UEII 2020-2024 (%)
1,Wakulla,1570616088,334902007,45220,H1,129,00306912,533,736.5335386828384,29.946869283493022,31.47723470261344,33.6212327372704,35.60167653466145,38.12162269577453,39.58103843639495,40.132419573716994,41.63557978047644,43.176011564238735,A,12129,+30.1394320,-084.3748463,06,,G4020,Wakulla,Wakulla County,12,0.04155589226411086,0.05821861251535462,0.05377742338611576,0.06842719384156129,0.039629308482824144,0.014972329387962297,0.04081715571153992,0.05228654578707601
2,Jefferson,1549012956,99610823,45220,H1,065,00295733,533,637.2035646445369,23.789277983923462,24.793333468738126,25.565301128826555,26.31566977990268,26.89423023802916,27.185849564819183,27.306358407972763,27.69225161756906,28.15106226396277,A,12065,+30.4245577,-083.8908594,06,,G4020,Jefferson,Jefferson County,12,0.03151443402156029,0.024229860061095846,0.023551928856352784,0.018159360374866314,0.00915309778446399,0.0037824284056165187,0.012112085713505605,0.018000944747133457
3,Gadsden,1337194435,31686103,45220,H1,039,00306918,533,529.0682093474782,36.80545539852147,38.42227136223116,39.803224784813104,41.55960850272028,43.99731490396636,45.49395725204404,45.87033735868042,46.535360625817695,47.21486136120396,A,12039,+30.5786866,-084.6126072,06,,G4020,Gadsden,Gadsden County,12,0.06111937686461173,0.05220322817298486,0.06639536025320433,0.09215093094527857,0.05657653669735892,0.014228037141017709,0.025139415122200328,0.03210837106543973
4,Leon,1727086019,90548394,45220,H1,073,00306916,533,702.519976144719,89.00824472796637,94.15544937578933,99.9475963445789,106.54905204884835,113.42595303334842,118.00208942188083,120.2738105049728,123.99697818012345,127.54104850780034,A,12073,+30.4593104,-084.2778004,06,,G4020,Leon,Leon County,12,0.14653546724947897,0.16489629236098438,0.1879364552876303,0.1957780908164077,0.13027775846731854,0.06467349428435332,0.10599464219032191,0.12611991288582283
5,DeSoto,1649027555,6243548,11580,H1,027,00294452,412,640.1746767158307,24.934789943849868,27.33097855281977,28.609265140134436,29.898873151226645,31.63973147420152,32.62766469556984,33.4176637807214,34.95909443348092,36.16923035582941,A,12027,+27.1905809,-081.8062531,06,,G4020,DeSoto,DeSoto County,12,0.07486046218705876,0.039935556147657196,0.040289254105084125,0.054386978626073584,0.030864489249607094,0.024680735239461283,0.048156564413551574,0.047258036218982745
6,Manatee,1924706077,387507719,35840,H1,081,00295744,412,894.2012963221908,92.55986448844631,101.89938636515596,108.08848223818643,122.75222797210172,142.46344680345672,154.46911219666592,163.42866730480102,178.89231087474894,194.4199147656433,A,12081,+27.4816825,-082.3687669,06,,G4020,Manatee,Manatee County,12,0.20889081496800957,0.1384273518386953,0.32797415513098915,0.4408675968694374,0.2685226568690507,0.20039235337692635,0.34586493295299797,0.43411936313329824
7,Sarasota,1442282866,436195743,35840,H1,115,00295741,412,726.4997830959062,164.42419084037755,178.54406943922268,185.77331498960461,195.65905468217593,206.77630990923413,212.6401901167876,217.43422439434627,226.8237387786032,236.9938399858509,A,12115,+27.1843855,-082.3658351,06,,G4020,Sarasota,Sarasota County,12,0.3887097815411501,0.19901576624222034,0.27214707898312723,0.3060497879210128,0.1614282713909463,0.13197620671349322,0.25848636442104495,0.3499691756241427
8,Charlotte,1764058624,458736687,39460,H1,015,00295742,412,859.7200297615647,135.11610441282042,139.93576588050433,144.13226800255677,146.87588723251906,151.3636489249969,154.99177823506645,156.04510262655867,160.1793723483856,165.0124442796462,A,12015,+26.8689745,-081.9412782,06,,G4020,Charlotte,Charlotte County,12,0.11212165125478356,0.09762485406362573,0.06382587668041673,0.10440053824784064,0.08440257722216306,0.024503893244975455,0.09617711763615744,0.14054203007812274
9,Volusia,2852206495,857789601,19660,H1,127,00306921,422,1434.3123265478753,200.6273091555834,211.7229885397589,221.96286885460816,238.29082845327196,255.68373911503002,267.3886904315345,271.48036172927794,280.8848387077907,289.8422025726141,A,12127,+29.0577690,-081.1617920,06,,G4020,Volusia,Volusia County,12,0.1547177581730856,0.14278452642870013,0.22767648714226946,0.2425261268390489,0.16321342429896168,0.057054118855568325,0.13113569205875283,0.15612645340610887
10,Flagler,1256519758,221918898,19660,H1,035,00308547,422,571.538838914644,52.98251628021572,56.04061980682402,57.98418312598739,63.16767547166451,68.60095592774995,71.94261833078188,72.44218773803095,74.26560878397288,77.16755897034658,A,12035,+29.4748818,-081.2862729,06,,G4020,Flagler,Flagler County,12,0.1070129733410824,0.06801159210296936,0.18138723014941918,0.19012812729938974,0.11693561926177307,0.017481555871084978,0.06380742381058883,0.1269358260885874
11,Orange,2337566033,260717886,36740,H1,095,00295750,422,1004.6423301018153,258.2809524944401,292.0361440571322,311.38803850404634,343.6219103398467,377.97857911363445,395.4271647982447,409.9846979163596,429.6626256568524,443.2522220115325,A,12095,+28.5143906,-081.3232839,06,,G4020,Orange,Orange County,12,0.6719842585026495,0.3852494338946061,0.6416984606359086,0.6839582156627999,0.3473591578177263,0.2898052905383668,0.3917399685617179,0.33817001204057556
12,Lake,2462296203,534178837,36740,H1,069,00308551,422,1158.5266294636472,108.30400764300506,122.5177295071898,135.392990081223,155.18914003161217,177.41095817216768,193.36676616419288,202.13061653540106,214.8122695885875,228.7674601725328,A,12069,+28.7641128,-081.7122822,06,,G4020,Lake,Lake County,12,0.24537583345434424,0.22226956630239803,0.34174699910961953,0.3836220519306207,0.2754499997883021,0.15129303286305124,0.21892726037825386,0.3011409109863536
13,Seminole,801344504,93079561,36740,H1,117,00303665,422,345.8168845973637,113.18570119202974,123.61860987448719,130.0942993869109,140.51454846093165,147.90739049269808,151.2404364582546,153.3576707997253,156.54644356136072,158.43842544903305,A,12117,+28.6900918,-081.1319894,06,,G4020,Seminole,Seminole County,12,0.6033776340680727,0.37451551967818986,0.6026454773110973,0.4275581882228774,0.19276363381951137,0.12244829190083056,0.18441972637328705,0.1367762804493463
14,Osceola,3438755923,461862673,36740,H1,097,00295748,422,1508.3134035069509,70.75808234428857,83.17888205342756,93.66632107939533,105.03629152546488,125.22141305525213,135.71766066129913,142.73102922677887,154.24695173980442,165.06234003453486,A,12097,+28.0590267,-081.1393116,06,,G4020,Osceola,Osceola County,12,0.16469786292768632,0.13906180242890676,0.1507640311308438,0.2676515568031844,0.13917860282408656,0.09299617107655594,0.15269933272819947,0.17926294809791826
15,Sumter,1442915229,58825881,45540,H1,119,00295740,422,580.6309463093426,32.12398943253816,34.2548304683299,37.9923366149523,43.23035930413957,53.95491729308423,62.74582297816811,70.8462580841718,79.41499513611306,87.0578078818971,A,12119,+28.7141008,-082.0743472,06,,G4020,Sumter,Sumter County,12,0.07339743254595638,0.12873947454502954,0.18042519856999178,0.36941048551108197,0.3028052755700124,0.2790218178170621,0.2951526130808779,0.3290736049449293
16,Escambia,1701544502,563927612,37860,H1,033,00295737,426,875.578063983033,138.31508117316145,142.42515864218115,147.35245948670243,153.79483065399367,162.19032457566732,165.57833422762778,167.75736217557625,171.62560978104136,175.596353882586,A,12033,+30.6116382,-087.3388996,06,,G4020,Escambia,Escambia County,12,0.09388260483189413,0.11254966398100091,0.1471569796526123,0.19177031191216176,0.07738909393294514,0.04977347052382745,0.08835871442160922,0.11337493094223892
17,Santa Rosa,2622050626,418020795,37860,H1,113,00306914,426,1174.9471903141723,99.60655957533955,105.03496696794056,112.07938359785786,119.60013128166862,129.17305600163428,133.73003536375066,136.08718495630512,141.67016221605104,147.60584516075693,A,12113,+30.7018378,-087.0127623,06,,G4020,Santa Rosa,Santa Rosa County,12,0.09240257668345929,0.11991035321398007,0.12801848024845738,0.16295072321345652,0.07756909246104715,0.04012349851952375,0.09503367139850889,0.12629680281882988
18,Marion,4113955311,192320562,36100,H1,083,00306922,,1664.8157298313283,210.49149480868797,230.39454145705574,245.26765313075902,264.71661911129974,285.04816556962834,302.35385439095495,310.34899943819926,322.0006672940482,337.97953784938727,A,12083,+29.2028047,-082.0431004,06,,G4020,Marion,Marion County,12,0.23910209750822395,0.17867577062369724,0.2336470713489859,0.24424981208447022,0.20789915077364085,0.09604840828905839,0.13997546571751124,0.23994953719229323
19,Brevard,2629306677,1403367455,37340,H1,009,00295749,,1559.318680415477,232.73988313711232,246.15243575356672,255.0298015222344,263.6741746244103,278.0601243973034,285.78889847352934,289.80947564514156,299.13155615173457,308.1847024232113,A,12009,+28.2986776,-080.7005344,06,,G4020,Brevard,Brevard County,12,0.17203093613783502,0.11386211016599034,0.11087371953849232,0.18451583955962128,0.09913014155857629,0.05156838332163048,0.11956607233242615,0.1451458637862364
20,Bay,1964585684,711267987,37460,H1,005,00295738,,1034.269878934008,101.7639612600056,107.35521155342433,110.60352535611806,117.19502371282584,124.2400958079378,129.15625510686382,130.6955585638462,137.28778597227773,142.12028011301328,A,12005,+30.2382184,-085.6316802,06,,G4020,Bay,Bay County,12,0.10811975495566911,0.06281365954583677,0.12746186447006375,0.1362327616535273,0.09506530933672673,0.029765992190914085,0.12747596237117448,0.11680931251996482
21,Gulf,1433354005,494697662,37460,H1,045,00306917,,745.2820517698948,35.282815202245885,36.799037017925386,37.83298771155467,38.68539907511399,39.89373076478537,40.93908600771584,41.38353774193526,41.71250359497076,42.458859054782465,A,12045,+29.9072571,-085.2565366,06,,G4020,Gulf,Gulf County,12,0.04068853696607289,0.027746560947599953,0.02287486627472148,0.0324261583061562,0.028052607477879316,0.01192707467364703,0.008827955865951096,0.02503600677217635
22,Highlands,2634768891,231625544,42700,H1,055,00295756,,1108.5543027606932,94.80796974654251,100.57061805614661,103.95190407968646,107.11695472467291,111.09065455180415,115.63348077148505,116.8463721005353,119.10976700412792,123.28747458155587,A,12055,+27.3410799,-081.3423534,06,,G4020,Highlands,Highlands County,12,0.10396691069175532,0.06100352531435299,0.057102311309501996,0.07169156832886436,0.0819594711484617,0.021882398111300848,0.040835074979294325,0.0942152217312219
23,Hernando,1224485109,301068594,45300,H1,053,00295751,,589.8622835102298,109.65228728394104,116.9581745671223,121.92286418200764,126.23148764560666,132.521868562413,136.7092009853081,137.1563168244246,139.24419559162766,142.30677154395067,A,12053,+28.5730426,-082.4662272,06,,G4020,Hernando,Hernando County,12,0.24771501712923336,0.16833385533113998,0.1460891324652493,0.21328303546965977,0.14197661182798654,0.015160007737933842,0.07079207555967908,0.12980046520765143
24,Pinellas,709006650,866038559,45300,H1,103,00295745,,609.0740976307718,228.16786486878402,232.68979932776034,235.2502208053203,237.12326778887743,238.7974103842041,239.240688822098,239.70141816910302,240.3819695565996,240.98644201197337,A,12103,+27.9031078,-082.7395188,06,,G4020,Pinellas,Pinellas County,12,0.14848552833115455,0.08407586162405249,0.06150473286725062,0.05497336372828553,0.014555813147142422,0.015128843889346074,0.02234708026967028,0.02481112141055911
25,Pasco,1933862570,315412854,45300,H1,101,00295739,,869.715482191313,151.26948678469773,163.19635326963336,171.95193469530932,188.46094440989577,207.36297169913206,219.80397772408395,226.90504644243453,241.72351603012052,257.2288545450999,A,12101,+28.3077107,-082.4648324,06,,G4020,Pasco,Pasco County,12,0.27427053396554474,0.20134357970989814,0.3796416196476295,0.4346715144500181,0.2860937002893371,0.16329636217257865,0.34076591462646516,0.4457014630782628
26,Hillsborough,2646574869,631652995,45300,H1,057,00295757,,1267.6933895753373,316.29628452566425,341.0625749449482,355.1991413333432,379.5870593588503,407.86283716254843,427.30840862375476,441.5937301807802,460.72804970176816,477.3665539923427,A,12057,+27.9066072,-082.3497186,06,,G4020,Hillsborough,Hillsborough County,12,0.3907299765534059,0.22302816287668106,0.3847605142703592,0.446098055511202,0.30678666657274867,0.22537502639831322,0.3018761425804663,0.32812556307776125
27,Hardee,1651329788,1439673,48100,H1,049,00295746,,639.1732600072746,19.187275930402876,20.346120679236304,21.366132176450023,22.383023059743348,23.61125172926258,24.709134126854746,25.73181517981957,26.649853462938708,27.645199845759834,A,12049,+27.4928458,-081.8215798,06,,G4020,Hardee,Hardee County,12,0.036260739343827945,0.03191658853820356,0.031818943216797,0.03843179138956013,0.03435320174625798,0.032000120059878116,0.02872580380188901,0.03893100842523501
28,Lee,2025413418,1114617195,15980,H1,071,00295758,162,1214.5569761980835,304.785112431908,327.1779293135927,339.213480376622,357.52397690061645,383.5055488484337,396.7944583806791,403.0975302483329,412.9512761532959,424.6442764723847,A,12071,+26.5590348,-081.8919943,06,,G4020,Lee,Lee County,12,0.3687404925503084,0.19818833202381436,0.30151729203040994,0.4278361980044301,0.21882727270388808,0.1037921150045053,0.16226074359735884,0.24068447483812783
29,Collier,5170431469,799432008,34940,H1,021,00295754,162,2309.331103537289,124.46571483166831,137.80582287291062,149.35092244473506,169.5392381749719,184.4713812348836,194.3753608476839,201.1803364508163,209.1519637884371,217.4492864666877,A,12021,+26.1187860,-081.4009553,06,,G4020,Collier,Collier County,12,0.11553222507425438,0.09998652470527396,0.1748412403861329,0.12932007053505307,0.08577357831131276,0.0589346031213017,0.06903840965386338,0.08982387438446249
30,Glades,2089129695,466706483,,H1,043,00295743,,988.5136074792929,17.4456027047536,19.886947551050973,20.91269198396909,22.2326462620452,23.22325312730514,24.292025239060038,24.63246650249886,25.181153555226757,26.240640137176634,A,12043,+26.9548102,-081.1908197,06,,G4020,Glades,Glades County,12,0.04939425877045427,0.020753268850466564,0.026705839314483303,0.02004235162297832,0.02162382194171845,0.00688794288440697,0.011101254420301741,0.026794941767457413
31,Calhoun,1469390185,18074799,,H1,013,00306919,,574.9144292403961,27.370877441455168,28.98309152166741,30.060763515306185,30.986302173542278,32.00671975937968,32.7585873953084,32.864825902665345,32.39489006323843,33.38340788869927,A,12013,+30.3888013,-085.1979155,06,,G4020,Calhoun,Calhoun County,12,0.056085358036408184,0.03748982244410335,0.032197440563770774,0.03549806837117042,0.026155810245435247,0.0036958024343660646,-0.01634802730722268,0.04298543292637981
32,Franklin,1411908386,1275539661,,H1,037,00306911,,1038.8444531896532,36.52578434372006,37.55202616706653,38.877495346686665,40.09633219474768,41.51786450000268,41.74164931135908,41.73157204500918,41.73886937581428,42.11311819853298,A,12037,+29.8101756,-084.7991742,06,,G4020,Franklin,Franklin County,12,0.019757372149324354,0.025518145195855532,0.023465242449314087,0.027367567895084707,0.004308341073955721,-0.00019400914774029583,0.0001404893828464164,0.009006372936044706
